script starting at 31/10/2018 17:48:19 PDT
from this device:
uid=501(alexanderhardt) gid=20(staff) groups=20(staff),12(everyone),61(localaccounts),79(_appserverusr),80(admin),81(_appserveradm),98(_lpadmin),501(access_bpf),701(1),33(_appstore),100(_lpoperator),204(_developer),250(_analyticsusers),395(com.apple.access_ftp),398(com.apple.access_screensharing),399(com.apple.access_ssh)
172.20.144.1 ,  172.20.144.1 , 4.406 , 31/10/2018 17:48:19 PDT  
216.58.194.174 , google.com , 8.191 , 31/10/2018 17:48:21 PDT  
72.30.35.9 , yahoo.com , 67.118 , 31/10/2018 17:48:23 PDT  
104.31.94.59 , aline.com , 7.389 , 31/10/2018 17:48:25 PDT  
64.28.108.203 , vatican.com , 51.112 , 31/10/2018 17:48:27 PDT  
31.13.70.36 , facebook.com , 14.322 , 31/10/2018 17:48:29 PDT  
216.58.195.65 , navycaptain-therealnavy.blogspot.com , 7.569 , 31/10/2018 17:48:32 PDT  
172.20.144.1 ,  172.20.144.1 , 3.277 , 31/10/2018 17:48:44 PDT  
216.58.194.174 , google.com , 7.978 , 31/10/2018 17:48:46 PDT  
72.30.35.9 , yahoo.com , 67.061 , 31/10/2018 17:48:48 PDT  
104.31.94.59 , aline.com , 6.954 , 31/10/2018 17:48:50 PDT  
64.28.108.203 , vatican.com , 50.927 , 31/10/2018 17:48:52 PDT  
31.13.70.36 , facebook.com , 14.299 , 31/10/2018 17:48:54 PDT  
216.58.195.65 , navycaptain-therealnavy.blogspot.com , 7.835 , 31/10/2018 17:48:56 PDT  
172.20.144.1 ,  172.20.144.1 , 2.918 , 31/10/2018 17:49:08 PDT  
216.58.194.174 , google.com , 7.898 , 31/10/2018 17:49:10 PDT  
72.30.35.9 , yahoo.com , 66.859 , 31/10/2018 17:49:12 PDT  
104.31.94.59 , aline.com , 7.349 , 31/10/2018 17:49:14 PDT  
64.28.108.203 , vatican.com , 51.060 , 31/10/2018 17:49:16 PDT  
