script starting at 04/11/2018 23:16:07 UTC
from this device:
uid=0(root) gid=0(root) groups=0(root)
10.0.1.1 , 10.0.1.1 , 3.253 , 04/11/2018 23:16:07 UTC  
172.217.5.110 , google.com , 14.958 , 04/11/2018 23:16:09 UTC  
98.137.246.8 , yahoo.com , 32.826 , 04/11/2018 23:16:11 UTC  
104.31.94.59 , aline.com , 14.669 , 04/11/2018 23:16:13 UTC  
64.28.108.203 , vatican.com , 61.123 , 04/11/2018 23:16:24 UTC  
157.240.22.35 , facebook.com , 14.205 , 04/11/2018 23:16:27 UTC  
216.58.194.161 , navycaptain-therealnavy.blogspot.com , 19.702 , 04/11/2018 23:16:29 UTC  
10.0.1.1 , 10.0.1.1 , 58.998 , 04/11/2018 23:16:46 UTC  
216.58.194.174 , google.com , 20.344 , 04/11/2018 23:16:48 UTC  
98.137.246.8 , yahoo.com , 38.994 , 04/11/2018 23:16:50 UTC  
104.31.95.59 , aline.com , 13.906 , 04/11/2018 23:16:57 UTC  
64.28.108.203 , vatican.com , 58.413 , 04/11/2018 23:17:08 UTC  
157.240.22.35 , facebook.com , 14.980 , 04/11/2018 23:17:10 UTC  
216.58.194.161 , navycaptain-therealnavy.blogspot.com , 18.546 , 04/11/2018 23:17:12 UTC  
10.0.1.1 , 10.0.1.1 , 1.140 , 04/11/2018 23:17:25 UTC  
216.58.194.174 , google.com , 13.789 , 04/11/2018 23:17:27 UTC  
98.137.246.8 , yahoo.com , 35.711 , 04/11/2018 23:17:29 UTC  
104.31.95.59 , aline.com , 14.332 , 04/11/2018 23:17:31 UTC  
64.28.108.203 , vatican.com , 60.764 , 04/11/2018 23:17:42 UTC  
157.240.22.35 , facebook.com , 13.274 , 04/11/2018 23:17:44 UTC  
216.58.194.161 , navycaptain-therealnavy.blogspot.com , 15.110 , 04/11/2018 23:17:46 UTC  
10.0.1.1 , 10.0.1.1 , 5.228 , 04/11/2018 23:17:58 UTC  
216.58.194.174 , google.com , 14.620 , 04/11/2018 23:18:00 UTC  
98.137.246.8 , yahoo.com , 34.567 , 04/11/2018 23:18:02 UTC  
104.31.95.59 , aline.com , 14.210 , 04/11/2018 23:18:04 UTC  
64.28.108.203 , vatican.com , 191.589 , 04/11/2018 23:18:15 UTC  
157.240.22.35 , facebook.com , 15.788 , 04/11/2018 23:18:18 UTC  
