script starting at 10/11/2018 18:05:57 UTC
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff),4(adm),20(dialout),24(cdrom),27(sudo),29(audio),44(video),46(plugdev),60(games),100(users),101(input),108(netdev),997(gpio),998(i2c),999(spi),1000(pi)
10.0.0.1 , 10.0.0.1 , 1.090 , 10/11/2018 18:05:57 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 15.808 , 10/11/2018 18:06:00 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 59.379 , 10/11/2018 18:06:02 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 15.320 , 10/11/2018 18:06:04 UTC  
64.28.108.203 , vatican.com , 58.299 , 10/11/2018 18:06:06 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 15.449 , 10/11/2018 18:06:08 UTC  
sfo03s07-in-x01.1e100.net (2607:f8b0:4005:808::2001 , navycaptain-therealnavy.blogspot.com , 12.889 , 10/11/2018 18:06:10 UTC  
10.0.0.1 , 10.0.0.1 , 1.346 , 10/11/2018 18:06:22 UTC  
nuq04s29-in-x0e.1e100.net (2607:f8b0:4005:801::200e , google.com , 13.029 , 10/11/2018 18:06:24 UTC  
media-router-fp1.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::10 , yahoo.com , 87.386 , 10/11/2018 18:06:26 UTC  
2606:4700:30::681f:5e3b (2606:4700:30::681f:5e3b , aline.com , 14.629 , 10/11/2018 18:06:28 UTC  
64.28.108.203 , vatican.com , 58.880 , 10/11/2018 18:06:31 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.073 , 10/11/2018 18:06:33 UTC  
sfo07s13-in-x01.1e100.net (2607:f8b0:4005:804::2001 , navycaptain-therealnavy.blogspot.com , 14.715 , 10/11/2018 18:06:35 UTC  
10.0.0.1 , 10.0.0.1 , 1.009 , 10/11/2018 18:06:47 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 13.158 , 10/11/2018 18:06:49 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 81.193 , 10/11/2018 18:06:51 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.458 , 10/11/2018 18:06:53 UTC  
64.28.108.203 , vatican.com , 61.998 , 10/11/2018 18:06:55 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.414 , 10/11/2018 18:06:58 UTC  
sfo03s01-in-x01.1e100.net (2607:f8b0:4005:805::2001 , navycaptain-therealnavy.blogspot.com , 13.561 , 10/11/2018 18:07:00 UTC  
10.0.0.1 , 10.0.0.1 , 0.806 , 10/11/2018 18:07:12 UTC  
sfo03s07-in-x0e.1e100.net (2607:f8b0:4005:808::200e , google.com , 15.155 , 10/11/2018 18:07:14 UTC  
media-router-fp1.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::3 , yahoo.com , 61.313 , 10/11/2018 18:07:16 UTC  
