script starting at 21/11/2018 00:00:04 UTC
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff),4(adm),20(dialout),24(cdrom),27(sudo),29(audio),44(video),46(plugdev),60(games),100(users),101(input),108(netdev),997(gpio),998(i2c),999(spi),1000(pi)
10.0.0.1 , 10.0.0.1 , 0.486 , 21/11/2018 00:00:04 UTC  
sfo03s18-in-x0e.1e100.net (2607:f8b0:4005:80b::200e , google.com , 14.184 , 21/11/2018 00:00:06 UTC  
media-router-fp1.prod1.media.vip.gq1.yahoo.com (2001:4998:c:1023::4 , yahoo.com , 33.041 , 21/11/2018 00:00:08 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.209 , 21/11/2018 00:00:10 UTC  
64.28.108.203 , vatican.com , 57.952 , 21/11/2018 00:00:12 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 14.608 , 21/11/2018 00:00:14 UTC  
sfo07s26-in-x01.1e100.net (2607:f8b0:4005:802::2001 , navycaptain-therealnavy.blogspot.com , 12.832 , 21/11/2018 00:00:16 UTC  
10.0.0.1 , 10.0.0.1 , 1.076 , 21/11/2018 00:00:28 UTC  
sfo07s16-in-x0e.1e100.net (2607:f8b0:4005:807::200e , google.com , 14.907 , 21/11/2018 00:00:30 UTC  
media-router-fp2.prod1.media.vip.ne1.yahoo.com (2001:4998:44:41d::4 , yahoo.com , 60.527 , 21/11/2018 00:00:32 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 14.407 , 21/11/2018 00:00:35 UTC  
64.28.108.203 , vatican.com , 59.512 , 21/11/2018 00:00:37 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.906 , 21/11/2018 00:00:39 UTC  
sfo07s16-in-x01.1e100.net (2607:f8b0:4005:807::2001 , navycaptain-therealnavy.blogspot.com , 12.725 , 21/11/2018 00:00:41 UTC  
10.0.0.1 , 10.0.0.1 , 1.124 , 21/11/2018 00:00:53 UTC  
lax17s38-in-x0e.1e100.net (2607:f8b0:4007:803::200e , google.com , 22.851 , 21/11/2018 00:00:55 UTC  
media-router-fp2.prod1.media.vip.bf1.yahoo.com (2001:4998:58:1836::11 , yahoo.com , 81.004 , 21/11/2018 00:00:57 UTC  
2606:4700:30::681f:5f3b (2606:4700:30::681f:5f3b , aline.com , 13.948 , 21/11/2018 00:00:59 UTC  
64.28.108.203 , vatican.com , 57.352 , 21/11/2018 00:01:01 UTC  
edge-star-mini6-shv-01-sjc3.facebook.com (2a03:2880:f131:83:face:b00c:0:25de , facebook.com , 13.615 , 21/11/2018 00:01:04 UTC  
