script starting at 28/10/2018 14:07:52 PDT
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff)
10.0.1.1 , 10.0.1.1 , 1.362 , 28/10/2018 14:07:52 PDT  
216.58.194.206 , google.com , 12.229 , 28/10/2018 14:07:54 PDT  
98.137.246.8 , yahoo.com , 32.392 , 28/10/2018 14:07:56 PDT  
104.31.94.59 , aline.com , 12.602 , 28/10/2018 14:07:58 PDT  
64.28.108.203 , vatican.com , 60.068 , 28/10/2018 14:08:09 PDT  
157.240.22.35 , facebook.com , 14.744 , 28/10/2018 14:08:11 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.373 , 28/10/2018 14:08:13 PDT  
10.0.1.1 , 10.0.1.1 , 1.415 , 28/10/2018 14:08:26 PDT  
216.58.194.206 , google.com , 12.184 , 28/10/2018 14:08:28 PDT  
98.137.246.8 , yahoo.com , 32.028 , 28/10/2018 14:08:30 PDT  
104.31.94.59 , aline.com , 12.405 , 28/10/2018 14:08:32 PDT  
64.28.108.203 , vatican.com , 56.578 , 28/10/2018 14:08:43 PDT  
157.240.22.35 , facebook.com , 13.263 , 28/10/2018 14:08:45 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.829 , 28/10/2018 14:08:47 PDT  
10.0.1.1 , 10.0.1.1 , 1.159 , 28/10/2018 14:08:59 PDT  
216.58.194.206 , google.com , 12.502 , 28/10/2018 14:09:01 PDT  
98.137.246.8 , yahoo.com , 32.098 , 28/10/2018 14:09:03 PDT  
104.31.94.59 , aline.com , 13.923 , 28/10/2018 14:09:05 PDT  
64.28.108.203 , vatican.com , 57.373 , 28/10/2018 14:09:16 PDT  
157.240.22.35 , facebook.com , 13.321 , 28/10/2018 14:09:18 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.432 , 28/10/2018 14:09:21 PDT  
10.0.1.1 , 10.0.1.1 , 1.129 , 28/10/2018 14:09:33 PDT  
216.58.194.206 , google.com , 12.521 , 28/10/2018 14:09:35 PDT  
98.137.246.8 , yahoo.com , 32.644 , 28/10/2018 14:09:37 PDT  
104.31.94.59 , aline.com , 13.920 , 28/10/2018 14:09:39 PDT  
64.28.108.203 , vatican.com , 57.632 , 28/10/2018 14:09:50 PDT  
157.240.22.35 , facebook.com , 12.753 , 28/10/2018 14:09:52 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.581 , 28/10/2018 14:09:54 PDT  
10.0.1.1 , 10.0.1.1 , 1.757 , 28/10/2018 14:10:06 PDT  
216.58.194.206 , google.com , 12.283 , 28/10/2018 14:10:08 PDT  
98.137.246.8 , yahoo.com , 31.874 , 28/10/2018 14:10:10 PDT  
104.31.94.59 , aline.com , 12.503 , 28/10/2018 14:10:12 PDT  
64.28.108.203 , vatican.com , 60.047 , 28/10/2018 14:10:23 PDT  
157.240.22.35 , facebook.com , 13.550 , 28/10/2018 14:10:26 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.374 , 28/10/2018 14:10:28 PDT  
10.0.1.1 , 10.0.1.1 , 1.262 , 28/10/2018 14:10:40 PDT  
216.58.194.206 , google.com , 12.853 , 28/10/2018 14:10:42 PDT  
98.137.246.8 , yahoo.com , 31.965 , 28/10/2018 14:10:44 PDT  
104.31.94.59 , aline.com , 13.265 , 28/10/2018 14:10:46 PDT  
64.28.108.203 , vatican.com , 57.841 , 28/10/2018 14:10:57 PDT  
157.240.22.35 , facebook.com , 13.179 , 28/10/2018 14:10:59 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.852 , 28/10/2018 14:11:01 PDT  
10.0.1.1 , 10.0.1.1 , 2.640 , 28/10/2018 14:11:13 PDT  
216.58.194.206 , google.com , 13.187 , 28/10/2018 14:11:15 PDT  
98.137.246.8 , yahoo.com , 32.732 , 28/10/2018 14:11:17 PDT  
104.31.94.59 , aline.com , 12.793 , 28/10/2018 14:11:19 PDT  
64.28.108.203 , vatican.com , 58.124 , 28/10/2018 14:11:31 PDT  
157.240.22.35 , facebook.com , 13.839 , 28/10/2018 14:11:33 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.653 , 28/10/2018 14:11:35 PDT  
10.0.1.1 , 10.0.1.1 , 1.548 , 28/10/2018 14:11:47 PDT  
216.58.194.206 , google.com , 13.253 , 28/10/2018 14:11:49 PDT  
98.137.246.8 , yahoo.com , 31.930 , 28/10/2018 14:11:51 PDT  
104.31.94.59 , aline.com , 14.438 , 28/10/2018 14:11:53 PDT  
64.28.108.203 , vatican.com , 59.822 , 28/10/2018 14:12:04 PDT  
157.240.22.35 , facebook.com , 13.509 , 28/10/2018 14:12:06 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.879 , 28/10/2018 14:12:09 PDT  
10.0.1.1 , 10.0.1.1 , 525.758 , 28/10/2018 14:12:27 PDT  
 , google.com ,  , 28/10/2018 14:12:31 PDT  
98.137.246.8 , yahoo.com , 43.397 , 28/10/2018 14:12:42 PDT  
 , aline.com ,  , 28/10/2018 14:12:45 PDT  
64.28.108.203 , vatican.com , 0 , 28/10/2018 14:12:55 PDT  
157.240.22.35 , facebook.com , 12.841 , 28/10/2018 14:13:07 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.705 , 28/10/2018 14:13:10 PDT  
10.0.1.1 , 10.0.1.1 , 1.549 , 28/10/2018 14:13:22 PDT  
216.58.194.206 , google.com , 12.284 , 28/10/2018 14:13:24 PDT  
 , yahoo.com ,  , 28/10/2018 14:13:27 PDT  
104.31.95.59 , aline.com , 19.542 , 28/10/2018 14:13:42 PDT  
 , vatican.com ,  , 28/10/2018 14:13:59 PDT  
157.240.22.35 , facebook.com , 13.092 , 28/10/2018 14:14:19 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.374 , 28/10/2018 14:14:26 PDT  
10.0.1.1 , 10.0.1.1 , 1.194 , 28/10/2018 14:14:39 PDT  
216.58.194.206 , google.com , 12.330 , 28/10/2018 14:14:41 PDT  
98.137.246.8 , yahoo.com , 31.587 , 28/10/2018 14:14:43 PDT  
104.31.95.59 , aline.com , 12.267 , 28/10/2018 14:14:46 PDT  
64.28.108.203 , vatican.com , 57.919 , 28/10/2018 14:14:57 PDT  
157.240.22.35 , facebook.com , 13.114 , 28/10/2018 14:14:59 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.555 , 28/10/2018 14:15:01 PDT  
10.0.1.1 , 10.0.1.1 , 1.834 , 28/10/2018 14:15:13 PDT  
216.58.194.206 , google.com , 12.538 , 28/10/2018 14:15:15 PDT  
98.137.246.8 , yahoo.com , 32.824 , 28/10/2018 14:15:17 PDT  
104.31.95.59 , aline.com , 12.865 , 28/10/2018 14:15:19 PDT  
64.28.108.203 , vatican.com , 59.462 , 28/10/2018 14:15:30 PDT  
157.240.22.35 , facebook.com , 13.304 , 28/10/2018 14:15:32 PDT  
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.669 , 28/10/2018 14:15:35 PDT  
10.0.1.1 , 10.0.1.1 , 1.205 , 28/10/2018 14:15:47 PDT  
216.58.194.206 , google.com , 12.815 , 28/10/2018 14:15:49 PDT  
98.137.246.8 , yahoo.com , 31.942 , 28/10/2018 14:15:51 PDT  
