script starting at 28/10/2018 19:47:50 PDT
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff)

#ping number in file?

10.0.1.1       , 10.0.1.1                             , 1.286   , 28/10/2018 19:47:50 PDT
216.58.194.206 , google.com                           , 13.617  , 28/10/2018 19:47:52 PDT
72.30.35.10    , yahoo.com                            , 90.947  , 28/10/2018 19:47:54 PDT
104.31.94.59   , aline.com                            , 13.388  , 28/10/2018 19:47:56 PDT
64.28.108.203  , vatican.com                          , 58.350  , 28/10/2018 19:48:02 PDT
157.240.22.35  , facebook.com                         , 15.354  , 28/10/2018 19:48:04 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.236  , 28/10/2018 19:48:11 PDT

10.0.1.1       , 10.0.1.1                             , 1.897   , 28/10/2018 19:48:23 PDT
216.58.194.206 , google.com                           , 12.329  , 28/10/2018 19:48:25 PDT
72.30.35.10    , yahoo.com                            , 91.825  , 28/10/2018 19:48:27 PDT
104.31.94.59   , aline.com                            , 17.580  , 28/10/2018 19:48:29 PDT
64.28.108.203  , vatican.com                          , 59.754  , 28/10/2018 19:48:40 PDT
157.240.22.35  , facebook.com                         , 14.226  , 28/10/2018 19:48:42 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.385  , 28/10/2018 19:48:44 PDT

10.0.1.1       , 10.0.1.1                             , 2.207   , 28/10/2018 19:48:56 PDT
216.58.194.206 , google.com                           , 14.236  , 28/10/2018 19:48:58 PDT
72.30.35.10    , yahoo.com                            , 94.229  , 28/10/2018 19:49:00 PDT
104.31.94.59   , aline.com                            , 14.230  , 28/10/2018 19:49:03 PDT
64.28.108.203  , vatican.com                          , 60.150  , 28/10/2018 19:49:14 PDT
157.240.22.35  , facebook.com                         , 13.071  , 28/10/2018 19:49:16 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 14.531  , 28/10/2018 19:49:18 PDT

10.0.1.1       , 10.0.1.1                             , 1.983   , 28/10/2018 19:49:30 PDT
216.58.194.206 , google.com                           , 13.321  , 28/10/2018 19:49:32 PDT
72.30.35.10    , yahoo.com                            , 91.051  , 28/10/2018 19:49:34 PDT
104.31.94.59   , aline.com                            , 13.220  , 28/10/2018 19:49:36 PDT
64.28.108.203  , vatican.com                          , 56.245  , 28/10/2018 19:49:47 PDT
157.240.22.35  , facebook.com                         , 12.435  , 28/10/2018 19:49:49 PDT
